site_id,lat,lon,IGBP,ELE
AR-SLu,-33.4648,-66.4598,MF,
AR-Vir,-28.2395,-56.1886,ENF,
AT-Neu,47.1167,11.3175,GRA,970
AU-ASM,-22.283,133.249,SAV,
AU-Ade,-13.0769,131.1178,WSA,
AU-Cpr,-34.0021,140.5891,SAV,
AU-Cum,-33.6152,150.7236,EBF,
AU-DaP,-14.0633,131.3181,GRA,
AU-DaS,-14.1593,131.3881,SAV,
AU-Dry,-15.2588,132.3706,SAV,
AU-Emr,-23.8587,148.4746,GRA,
AU-Fog,-12.5452,131.3072,WET,
AU-GWW,-30.1913,120.6541,SAV,
AU-Gin,-31.3764,115.7138,WSA,
AU-How,-12.4943,131.1523,WSA,
AU-Lox,-34.4704,140.6551,DBF,
AU-RDF,-14.5636,132.4776,WSA,
AU-Rig,-36.6499,145.5759,GRA,
AU-Rob,-17.1175,145.6301,EBF,
AU-Stp,-17.1507,133.3502,GRA,
AU-TTE,-22.287,133.64,GRA,
AU-Tum,-35.6566,148.1517,EBF,1200
AU-Wac,-37.4259,145.1878,EBF,
AU-Whr,-36.6732,145.0294,EBF,
AU-Wom,-37.4222,144.0944,EBF,705
AU-Ync,-34.9893,146.2907,GRA,
BR-Sa1,-2.8567,-54.9589,EBF,88
BR-Sa3,-3.018,-54.9714,EBF,100
BW-Gum,-18.9647,22.3711,WET,950
BW-Nxr,-19.5481,23.1792,GRA,950
CA-Man,55.8796,-98.4808,ENF,259
CA-NS1,55.8792,-98.4839,ENF,260
CA-NS2,55.9058,-98.5247,ENF,260
CA-NS3,55.9117,-98.3822,ENF,260
CA-NS4,55.9144,-98.3806,ENF,260
CA-NS5,55.8631,-98.485,ENF,260
CA-NS6,55.9167,-98.9644,OSH,244
CA-NS7,56.6358,-99.9483,OSH,297
CA-Oas,53.6289,-106.1978,DBF,530
CA-Obs,53.9872,-105.1178,ENF,628.94
CA-SCB,61.3089,-121.2984,WET,280
CA-SCC,61.3079,-121.2992,ENF,285
CA-SF1,54.485,-105.8176,ENF,536
CA-SF2,54.2539,-105.8775,ENF,520
CA-SF3,54.0916,-106.0053,OSH,540
CA-TP2,42.7744,-80.4588,ENF,212
CA-TP4,42.7102,-80.3574,ENF,184
CG-Tch,-4.2892,11.6564,SAV,82
CH-Cha,47.2102,8.4104,GRA,393
CH-Fru,47.1158,8.5378,GRA,982
CH-Lae,47.4783,8.3644,MF,689
CH-Oe1,47.2858,7.7319,GRA,450
CH-Oe2,47.2864,7.7337,CRO,452
CN-Cha,42.4025,128.0958,MF,
CN-Cng,44.5934,123.5092,GRA,
CN-Dan,30.4978,91.0664,GRA,
CN-Din,23.1733,112.5361,EBF,
CN-Du2,42.0467,116.2836,GRA,
CN-Du3,42.0551,116.2809,GRA,
CN-Ha2,37.6086,101.3269,WET,
CN-HaM,37.37,101.18,GRA,
CN-Hgu,32.8453,102.59,GRA,3500
CN-Qia,26.7414,115.0581,ENF,
CN-Sw2,41.7902,111.8971,GRA,
CZ-BK2,49.4944,18.5429,GRA,855
DE-Akm,53.8662,13.6834,WET,-1
DE-Dgw,53.1514,13.0543,WAT,60
DE-Hte,54.2103,12.1761,WET,0.2
DE-Lkb,49.0996,13.3047,ENF,1308
DE-Lnf,51.3282,10.3678,DBF,451
DE-Obe,50.7867,13.7213,ENF,734
DE-Seh,50.8706,6.4497,CRO,103
DE-Spw,51.8922,14.0337,WET,61
DE-Zrk,53.8759,12.889,WET,0
DK-Eng,55.6905,12.1918,GRA,10
DK-Fou,56.4842,9.5872,CRO,51
ES-Amo,36.8336,-2.2523,OSH,58
ES-LJu,36.9266,-2.7521,OSH,1600
ES-LgS,37.0979,-2.9658,OSH,2267
ES-Ln2,36.9695,-3.4758,OSH,2249
FI-Jok,60.8986,23.5134,CRO,109
FI-Si2,61.8372,24.1967,WET,160
FR-LBr,44.7171,-0.7693,ENF,61
GH-Ank,5.2685,-2.6942,EBF,124
HK-MPM,22.4982,114.0292,EBF,-1
ID-Pag,-2.32,113.9,EBF,30
IT-CA1,42.3804,12.0266,DBF,200
IT-CA2,42.3772,12.026,CRO,200
IT-CA3,42.38,12.0222,DBF,197
IT-Cas,45.07,8.7175,CRO,89
IT-Cpz,41.7052,12.3761,EBF,68
IT-Isp,45.8126,8.6336,DBF,210
IT-La2,45.9542,11.2853,ENF,1350
IT-Lav,45.9562,11.2813,ENF,1353
IT-PT1,45.2009,9.061,DBF,60
IT-Ro1,42.4081,11.93,DBF,235
IT-Ro2,42.3903,11.9209,DBF,160
IT-SRo,43.7279,10.2844,ENF,6
JP-BBY,43.323,141.8107,WET,
JP-MBF,44.3869,142.3186,DBF,
JP-Mse,36.0539,140.0269,CRO,
JP-SMF,35.2617,137.0788,MF,
JP-SwL,36.0466,138.1084,WAT,
KR-CRK,38.2013,127.2506,CRO,182
MY-MLM,1.4536,111.1495,EBF,
MY-PSO,2.973,102.3062,EBF,
NL-Hor,52.2403,5.0713,GRA,2.2
NZ-Kop,-37.3879,175.5539,EBF,
PA-SPn,9.3181,-79.6346,DBF,78
PA-SPs,9.3138,-79.6314,GRA,68
PH-RiF,14.1412,121.2653,CRO,27
RU-Ch2,68.6169,161.3509,WET,4
RU-Che,68.613,161.3414,WET,6
RU-Cok,70.8291,147.4943,OSH,48
RU-Fy2,56.4476,32.9019,ENF,
RU-Fyo,56.4615,32.9221,ENF,265
RU-Ha1,54.7252,90.0022,GRA,446
RU-Sam,72.3738,126.4958,GRA,
RU-SkP,62.255,129.168,DNF,246
RU-Tks,71.5943,128.8878,GRA,7
RU-Vrk,67.0547,62.9405,CSH,100
SD-Dem,13.2829,30.4783,SAV,500
SE-St1,68.3541,19.0503,WET,351
SJ-Adv,78.186,15.923,WET,17
SJ-Blv,78.9216,11.8311,SNO,25
SN-Dhr,15.4028,-15.4322,SAV,40
UK-LBT,51.5215,-0.1389,URB,21
US-A03,70.4953,-149.8823,BSV,5
US-A10,71.3242,-156.6149,BSV,4
US-ARb,35.5497,-98.0402,GRA,424
US-ARc,35.5465,-98.04,GRA,424
US-Atq,70.4696,-157.4089,WET,15
US-Beo,71.281,-156.6123,WET,
US-Bes,71.2809,-156.5965,WET,4.6
US-Blo,38.8953,-120.6328,ENF,1315
US-Cop,38.09,-109.39,GRA,1520
US-DPW,28.0521,-81.4361,WET,23
US-GBT,41.3658,-106.2397,ENF,3191
US-Goo,34.2547,-89.8735,GRA,87
US-HRA,34.5852,-91.7517,CRO,
US-HRC,34.5888,-91.7517,CRO,
US-Ho1,45.2041,-68.7402,ENF,60
US-IB2,41.8406,-88.241,GRA,226.5
US-Ivo,68.4865,-155.7503,WET,568
US-KS1,28.4583,-80.6709,ENF,1
US-KS2,28.6086,-80.6715,CSH,3
US-LA1,29.5013,-90.4449,WET,0
US-LA2,29.8587,-90.2869,WET,0
US-LWW,34.9604,-97.9789,GRA,365
US-Los,46.0827,-89.9792,WET,480
US-MAC,27.1632,-81.1873,WET,
US-MRM,40.8164,-74.0435,WET,1
US-Me1,44.5794,-121.5,ENF,896
US-Me3,44.3154,-121.6078,ENF,1005
US-Me4,44.4992,-121.6224,ENF,922
US-Me5,44.4372,-121.5668,ENF,1188
US-Ne2,41.1649,-96.4701,CRO,362
